-375581293#1,369977729#1
128570462#1,-228731431#0
125814491#1,384401183
10575480#0,44658727#1
231340191#1,-10892466#5
-481402022,228731431#2
-4263428#2,-151482075#2
-236429465#2,-14047499#1
229119089#0,7664730#0
41592105#5,-22820549#1
547766101#3,60115676
-32016067#1,46160696#0
38864100#0,-160963287#3
129211832,368990036#1
-14047190#2,5825856#3
-334138118#5,129211806#0
23072648#0,-3792665#6
38098902#0,22999061#0
38918794#0,-228356474#1
111602369#0,-25553684
401904746#0,10575469#0
-4215578#3,4396046#2
129211811#0,-4934627
-4541289#1,24807207#1
3708539#0,4825239#0
-3785446#2,-4825332
-45619559,228818579#1
-45619551,-191042861
-49728136#2,4825282
158262918,-140673640
38192817,30046890
514848250,4401603#3
83806426#4,-4934444#0
-13894939#2,-553868718#0
30047536#1,137329786#2
-3785446#2,-308090005
-326874928#1,25535969#1
-233718298#1,-38864097
-368505012,-4825258#1
-117401207#1,427391582
488735970,-354369976#9
-61717563#0,25539084#2
80450007,4934501#9
32016058#1,-401912432#4
-20848425#2,-33238680#2
3708549#0,228818596#2
38668910#0,-8111025
53750891#0,369652829#0
668344588,-3266498
4395931,-4395933#0
128396775,3789575#0
35078325,-4385390#2
521969636,-236429465#0
13904645#0,64233363#0
-125814738#2,-20485040#5
25536089#1,-7988564#1
4829715,32117788#10
231340188#0,658599935#0
4395858#1,31992219#1
-306917251#0,-130277328#1
-556290239#1,-4925959#1
360313819#4,30046888#0
-16309916#0,125813810
-4315737,-55814729#3
-7421646#5,4395891#0
14047770#0,48996164
372223886#0,-113549155#0
-38864104,38637143#0
-13872818,75450417
3708865#0,-128450676#3
77499348#1,481221024#0
227767349#2,404268319
129211821#2,360313819#3
42239605#2,32631389#1
-317101094#2,20848460#0
231613865#0,110403094#1
30655095#4,77799822
317697975#1,-30655095#3
22978764#0,430591268#0
-39247679#2,228818578
-30047545#3,360342135#2
-317219087,-128396774#0
-32117786#4,-22566802#0
-22999125#1,4215695
-375758262#4,4919459#1
4396046#0,228557871#0
-7990021#4,-4934596#0
360342135#2,-3763679#1
3284827#2,229549553#1
23501248#0,-3708878#0
-2746171#3,31350775#5
13871230#0,4074527#0
-317101094#2,-368646804#1
-3788201,-376394516#7
147077493#0,-368990036#1
24776109#0,-37248089#0
229119089#0,128775883#1
32758219#0,83806426#3
-523892327#0,-32632053
97092770#1,39117802#0
362985327#3,-3191572#0
30221015#0,-369988984#2
-31350775#3,302617608#1
-317145973#7,-4540072#2
-32016081,37747503#1
-486622509#0,5976031#1
39523682#1,38864099#2
64270141,-3792664#0
4287187#3,-113549155#0
-32642598#1,-143226428#1
-112410779#1,32491867#0
-317027065#0,33238682#1
228818596#2,41592109
-4934683,5825855
41565486,-23050727
-32015727,-41772643
-147463637#0,-4396161#1
48483331#0,-376465146#1
-4287269#8,38375201#8
6273600#0,4629003#6
192108786#2,4541289#0
-368990036#0,317312599#3
-3266486#0,20848454#2
gneE57,4926105#0
20834536,13904703
-369988978#5,-22770490#1
-317219094#0,-4834964#2
3285420#0,-59433202
449556613#4,561862252#2
8692149#0,8301214#0
37747008#0,-75900376#4
231612453,3708680#0
256024070#2,50502869#1
-3791210#0,-10575478#5
-31897169#0,-4934501#8
-279585244#1,432565295#3
4934683,-129211834#1
-3792717#2,-128946815#7
gneE18,129211810#0
4476051#0,4396064#1
-191042861,129211834#2
128775883#0,23050726
45530924#0,45619579#1
-31992254,-3789372#4
-41592110,371391166#0
gneE45,81982578#0
3818299#0,6145835#1
4396062#3,-38265426#1
-14047195,20686399#2
14047193,-3788879#2
30454634#0,578973715#0
231340191#1,368646813#5
-25761610#4,-310196058
-3708538#2,8384431#0
4396161#0,35078324#0
30655095#4,-32117788#9
13866265,-228557867#1
-5826896#0,60009533#0
423711652#0,-97092770#2
-231630881#0,7990022#0
-31982160#2,-317697975#4
-25354356#2,31993269
22978622#1,-23307469
151364#0,26150087#3
127359210#3,-48226178#1
