Experiment ID,Number of Ants,Execution Time (seconds),Time Cost (seconds)
100-1,100,0.200117826461792,4120.515594485374
100-2,100,0.15759491920471191,6093.730261026101
100-3,100,0.0994710922241211,5054.305753615362
100-4,100,0.2085120677947998,4867.214965496551
100-5,100,0.21125578880310059,5521.620452674896
100-6,100,0.2047727108001709,3361.736105610561
100-7,100,0.18233609199523926,4350.7384
100-8,100,0.204848051071167,3647.360041152263
100-9,100,0.2109668254852295,5072.440774077407
100-10,100,0.20269107818603516,4331.788232823282
100-11,100,0.2194979190826416,4801.127794779479
100-12,100,0.20908474922180176,4825.763312331233
100-13,100,0.20985007286071777,5330.468624306874
100-14,100,0.20012640953063965,5082.066400000001
100-15,100,0.19792413711547852,5493.993333333332
100-16,100,0.20300602912902832,5427.678429102169
100-17,100,0.21825671195983887,4216.47767177014
100-18,100,0.21685099601745605,4986.536765120956
100-19,100,0.2134871482849121,5320.732550884718
100-20,100,0.19142413139343262,5304.72117611761
100-21,100,0.2069077491760254,5042.61427983539
100-22,100,0.20858001708984375,4417.799670781892
100-23,100,0.0875391960144043,3556.736105610561
100-24,100,0.20740699768066406,4487.603004115226
100-25,100,0.1998441219329834,4311.968922892288
100-26,100,0.2075939178466797,4121.314755475547
100-27,100,0.21172690391540527,3361.736105610561
100-28,100,0.21332573890686035,3416.5173837383736
100-29,100,0.19797301292419434,3361.736105610561
100-30,100,0.21307706832885742,3547.934125412541
150-1,150,0.3218228816986084,4331.788232823282
150-2,150,0.2969341278076172,3924.121854185418
150-3,150,0.0739278793334961,4232.919783978397
150-4,150,0.31206512451171875,6209.432271227121
150-5,150,0.31070995330810547,6135.322286228622
150-6,150,0.30478525161743164,3432.7901110111006
150-7,150,0.06941485404968262,4271.055391835481
150-8,150,0.3116462230682373,5139.56701470147
150-9,150,0.30005693435668945,4331.788232823282
150-10,150,0.3096659183502197,5183.789780978097
150-11,150,0.23839426040649414,4638.295619561955
150-12,150,0.3196837902069092,4340.507236723672
150-13,150,0.3211531639099121,5869.022973927022
150-14,150,0.3439149856567383,4991.658283828382
150-15,150,0.3305380344390869,5506.709816981698
150-16,150,0.322127103805542,5186.704884728473
150-17,150,0.33013415336608887,4937.112319231923
150-18,150,0.3167870044708252,4774.941194119413
150-19,150,0.3158080577850342,4486.302178217821
150-20,150,0.315936803817749,4331.542110581428
150-21,150,0.30600881576538086,4279.564782478247
150-22,150,0.10672593116760254,3519.749606960696
150-23,150,0.31055307388305664,5024.7359259259265
150-24,150,0.30579471588134766,4600.021302130213
150-25,150,0.33621668815612793,4887.640390039002
150-26,150,0.2953808307647705,4937.112319231923
150-27,150,0.3314058780670166,6299.0715637860085
150-28,150,0.16399264335632324,5659.732907290729
150-29,150,0.30818605422973633,4331.788232823282
150-30,150,0.28368711471557617,4550.175394465373
200-1,200,0.4264030456542969,4182.618597378256
200-2,200,0.42000627517700195,5204.93907590759
200-3,200,0.36997103691101074,4507.800534979423
200-4,200,0.41127490997314453,4585.5285448544855
200-5,200,0.40854692459106445,5047.606008230452
200-6,200,0.3225820064544678,5231.704500450044
200-7,200,0.421673059463501,5001.491935193519
200-8,200,0.2431941032409668,4640.324006480648
200-9,200,0.41702890396118164,4528.696867686768
200-10,200,0.4199402332305908,4842.012295229521
200-11,200,0.4285240173339844,3454.0614881488145
200-12,200,0.40239405632019043,5047.606008230452
200-13,200,0.4069089889526367,4346.258312757202
200-14,200,0.41599082946777344,3361.736105610561
200-15,200,0.4101431369781494,3361.736105610561
200-16,200,0.42889976501464844,4732.113111311132
200-17,200,0.4071650505065918,4331.788232823282
200-18,200,0.4330921173095703,3361.736105610561
200-19,200,0.41637301445007324,3438.5614881488145
200-20,200,0.4204061031341553,4472.54205220522
200-21,200,0.307239294052124,4798.490680549537
200-22,200,0.42096686363220215,4638.295619561955
200-23,200,0.4004402160644531,5047.606008230452
200-24,200,0.41809773445129395,5070.520252025201
200-25,200,0.40406203269958496,4539.086816163098
200-26,200,0.40314793586730957,4801.127794779479
200-27,200,0.4203808307647705,3545.536285628563
200-28,200,0.13916492462158203,3994.0717947350286
200-29,200,0.4330708980560303,3473.4678787878784
200-30,200,0.2666041851043701,3716.430525052505
250-1,250,0.5090878009796143,4346.258312757202
250-2,250,0.5450007915496826,4093.1819081908197
250-3,250,0.5097999572753906,4170.955481548154
250-4,250,0.5273349285125732,3361.736105610561
250-5,250,0.49356603622436523,3361.736105610561
250-6,250,0.5255186557769775,4037.6355535553557
250-7,250,0.4529459476470947,4490.756534773476
250-8,250,0.33791112899780273,3632.826620822082
250-9,250,0.5135409832000732,4129.049594959497
250-10,250,0.5006721019744873,5058.89810381038
250-11,250,0.5152521133422852,4472.54205220522
250-12,250,0.2899808883666992,3735.6488768076806
250-13,250,0.5206949710845947,3432.7901110111006
250-14,250,0.3290538787841797,4857.239459945994
250-15,250,0.28151726722717285,4357.525826582658
250-16,250,0.520470142364502,4322.675607560756
250-17,250,0.2673981189727783,5217.2215121512145
250-18,250,0.5187540054321289,4876.91610561056
250-19,250,0.5181469917297363,4118.250849084909
250-20,250,0.29579806327819824,4937.112319231923
250-21,250,0.5311198234558105,4318.919081908191
250-22,250,0.5081181526184082,4122.494239423943
250-23,250,0.31897497177124023,4523.454485448544
250-24,250,0.5316259860992432,4340.507236723672
250-25,250,0.5244719982147217,3482.2590579057905
250-26,250,0.20166301727294922,4142.022592259226
250-27,250,0.5261099338531494,4825.763312331233
250-28,250,0.5181889533996582,4193.506786678668
250-29,250,0.09543395042419434,5100.721492469246
250-30,250,0.520115852355957,5047.606008230452
300-1,300,0.6099369525909424,3361.736105610561
300-2,300,0.61981201171875,4428.969372937294
300-3,300,0.5968811511993408,5070.520252025201
300-4,300,0.6227712631225586,4676.119547325102
300-5,300,0.623615026473999,4677.29606960696
