Experiment ID,Number of Ants,Execution Time (seconds),Time Cost (seconds)
200-1,200,0.39321351051330566,8140.219794959548
200-2,200,0.38965415954589844,13947.560919540187
200-3,200,0.39514684677124023,8418.342382611045
200-4,200,0.38250017166137695,8417.474022508886
200-5,200,0.38607358932495117,11514.519111834657
200-6,200,0.3810758590698242,11680.739767518004
200-7,200,0.3855593204498291,10693.994178074681
200-8,200,0.36861419677734375,8490.834372568315
200-9,200,0.385073184967041,12971.04697962972
200-10,200,0.3840668201446533,10475.108904861381
200-11,200,0.39205408096313477,8985.937939929549
200-12,200,0.08852362632751465,5968.935870935013
200-13,200,0.3815634250640869,7227.248505049891
200-14,200,0.38561558723449707,12287.97740879961
200-15,200,0.3817603588104248,10766.287082178389
200-16,200,0.36525654792785645,6373.157885555555
200-17,200,0.4010608196258545,9859.853066598725
200-18,200,0.40178966522216797,9103.950380551943
200-19,200,0.408829927444458,10752.955958016008
200-20,200,0.3987898826599121,8688.045571587372
200-21,200,0.41306090354919434,7925.939890519374
200-22,200,0.38460230827331543,11379.893866942522
200-23,200,0.40904712677001953,7824.87061061753
200-24,200,0.40205979347229004,12129.445267613955
200-25,200,0.40407228469848633,10871.86947429265
200-26,200,0.37026119232177734,6646.493708303254
200-27,200,0.3817629814147949,12571.410609386205
200-28,200,0.4099104404449463,11881.362826084853
200-29,200,0.36921119689941406,7619.327833945272
200-30,200,0.38706040382385254,12129.208827227229
400-1,400,0.7741866111755371,10916.154173759394
400-2,400,0.7694432735443115,10985.46024905176
400-3,400,0.7764475345611572,10388.119702838514
400-4,400,0.7676887512207031,9595.295665463957
400-5,400,0.7366232872009277,6575.258097050308
400-6,400,0.7751281261444092,11692.552041233557
400-7,400,0.8052105903625488,10479.628722757632
400-8,400,0.18857145309448242,5699.7001272444395
400-9,400,0.7291755676269531,6441.025622369933
400-10,400,0.4370884895324707,6068.488561099921
400-11,400,0.7626407146453857,10295.669799898256
400-12,400,0.13205170631408691,6135.478745650007
400-13,400,0.7495841979980469,9840.509582506167
400-14,400,0.5410947799682617,5699.7001272444395
400-15,400,0.757610559463501,10808.394302855886
400-16,400,0.7609972953796387,11760.164894477677
400-17,400,0.7729096412658691,7824.921264138067
400-18,400,0.26955389976501465,6591.38449500633
400-19,400,0.7521514892578125,8483.663909316369
400-20,400,0.7879862785339355,13521.852937615764
400-21,400,0.7546308040618896,8759.861806355759
400-22,400,0.5004088878631592,5699.7001272444395
400-23,400,0.40807580947875977,5903.1497092774935
400-24,400,0.5557491779327393,5904.573748821556
400-25,400,0.7610414028167725,12909.85360440592
400-26,400,0.42856335639953613,5904.573748821556
400-27,400,0.7276101112365723,5628.081336787505
