Experiment ID,Number of Ants,Execution Time (seconds),Time Cost (seconds)
100-1,100,0.1856379508972168,3361.736105610561
100-2,100,0.18761277198791504,5384.389096909691
100-3,100,0.1942908763885498,4519.2688
100-4,100,0.0682837963104248,4638.295619561956
100-5,100,0.2113790512084961,4195.217283950617
100-6,100,0.18698811531066895,4313.876663666366
100-7,100,0.19806289672851562,4343.569367307101
100-8,100,0.2004837989807129,3440.4692289228924
100-9,100,0.20708799362182617,4170.955481548155
100-10,100,0.15826416015625,3572.880679327192
100-11,100,0.20730018615722656,4118.250849084909
100-12,100,0.20538711547851562,5595.624691358024
100-13,100,0.17716383934020996,4690.15091509151
100-14,100,0.18819928169250488,4118.250849084909
100-15,100,0.2464590072631836,4118.250849084909
100-16,100,0.047399044036865234,6472.5443139513945
100-17,100,0.24137282371520996,4346.69102310231
100-18,100,0.05895376205444336,4426.10596459646
100-19,100,0.20249700546264648,5731.179429942995
100-20,100,0.19096899032592773,3482.2590579057905
100-21,100,0.08103299140930176,5499.197401740174
100-22,100,0.15427470207214355,4279.564782478248
100-23,100,0.18566203117370605,4782.853039303931
100-24,100,0.1829831600189209,3361.736105610561
100-25,100,0.17920684814453125,4846.69805580558
100-26,100,0.18109393119812012,4170.955481548155
100-27,100,0.1289958953857422,5642.478745874588
100-28,100,0.1794288158416748,4426.10596459646
100-29,100,0.17678403854370117,4037.6355535553553
100-30,100,0.1295621395111084,4897.850849084909
150-1,150,0.18674397468566895,4523.454485448545
150-2,150,0.2696671485900879,4228.094545454545
150-3,150,0.26657986640930176,4350.7384
150-4,150,0.2661921977996826,4523.454485448545
150-5,150,0.11495304107666016,3473.467878787879
150-6,150,0.2620737552642822,5211.1826337448565
150-7,150,0.1373441219329834,4118.250849084909
150-8,150,0.2607300281524658,4673.796969696969
150-9,150,0.26134490966796875,4863.320329218107
150-10,150,0.17650198936462402,5123.593567356736
150-11,150,0.2554607391357422,5064.92
150-12,150,0.2515270709991455,4260.156201620162
150-13,150,0.263779878616333,4037.6355535553553
150-14,150,0.26676201820373535,4554.3372817281725
150-15,150,0.2663590908050537,4357.428646864686
150-16,150,0.26279497146606445,4037.6355535553553
150-17,150,0.2841000556945801,3705.3720192019205
150-18,150,0.2531609535217285,3584.7131533153315
150-19,150,0.26981019973754883,4360.708346834683
150-20,150,0.2749142646789551,4331.788232823283
150-21,150,0.2836318016052246,5071.280305310531
150-22,150,0.27350807189941406,4628.521542154216
150-23,150,0.27471184730529785,3416.5173837383736
150-24,150,0.261246919631958,5070.520252025202
150-25,150,0.273576021194458,5368.1948971193415
150-26,150,0.26882100105285645,4178.518541854185
150-27,150,0.2674729824066162,4669.5600060006
150-28,150,0.14965081214904785,4851.64697269727
150-29,150,0.27443814277648926,4170.955481548155
150-30,150,0.16472697257995605,3612.6550975097507
200-1,200,0.39264702796936035,3458.4305250525053
200-2,200,0.3973407745361328,4722.63658436214
200-3,200,0.43138599395751953,4129.585400540054
200-4,200,0.3935210704803467,4565.168256825682
200-5,200,0.3636648654937744,4958.0470627062705
200-6,200,0.35564589500427246,5093.033087308731
200-7,200,0.36531710624694824,4118.250849084909
200-8,200,0.38957810401916504,4209.393375337533
200-9,200,0.3718562126159668,5304.721176117611
200-10,200,0.2892007827758789,3416.5173837383736
200-11,200,0.3614778518676758,4344.2933843621395
200-12,200,0.32635498046875,4266.074916676853
200-13,200,0.3293497562408447,3624.4156735673564
