RouteID,EdgeID,AvgSpeed
r_19,276,8.33
r_19,246,8.33
r_19,274,8.33
r_19,273,8.33
r_19,30,8.33
r_19,146,8.33
r_19,115,8.33
r_19,38,8.33
r_19,147,8.33
r_19,41,8.33
r_19,238,8.33
r_19,120,8.33
r_19,65,8.33
r_19,191,8.33
r_19,137,8.33
r_19,28,8.33
r_19,180,8.33
r_19,142,8.33
r_19,10,8.33
r_19,231,8.33
r_19,8,8.33
r_19,127,5.56
r_19,128,5.56
r_19,125,5.56
r_19,-125,5.56
r_21,108,8.33
r_21,110,8.33
r_21,173,8.33
r_21,-5,13.89
r_21,7,13.89
r_21,22,8.33
r_21,19,8.33
r_21,34,8.33
r_21,115,8.33
r_21,38,8.33
r_21,148,5.56
r_32,-217,5.56
r_32,-95,8.33
r_32,-15,8.33
r_32,17,8.33
r_32,51,8.33
r_32,99,8.33
r_32,-222,5.56
r_32,222,5.56
r_27,256,8.33
r_27,33,8.33
r_27,39,8.33
r_27,114,13.89
r_27,85,13.89
r_27,316,13.89
r_27,270,13.89
r_29,240,8.33
r_29,252,8.33
r_29,-252,8.33
r_29,-240,8.33
r_29,-45,8.33
r_29,44,8.33
r_29,184,8.33
r_29,186,8.33
r_29,203,8.33
r_29,182,8.33
r_29,181,8.33
r_29,48,8.33
r_29,47,8.33
r_29,10,8.33
r_29,231,8.33
r_29,9,13.89
r_29,140,8.33
r_29,116,8.33
r_29,199,8.33
r_29,145,8.33
r_29,50,8.33
r_29,2,8.33
r_29,257,8.33
r_29,268,8.33
r_29,1,8.33
r_29,263,8.33
r_29,266,8.33
r_29,271,8.33
r_29,272,13.89
r_29,303,13.89
r_29,312,13.89
r_29,179,13.89
r_29,5,13.89
r_29,97,13.89
r_29,53,13.89
r_29,111,13.89
r_29,58,13.89
r_29,-129,8.33
r_29,130,5.56
r_44,36,8.33
r_44,37,8.33
r_44,31,8.33
r_44,309,8.33
r_44,33,8.33
r_44,39,8.33
r_44,-75,13.89
r_44,-69,13.89
r_44,-70,13.89
r_44,70,13.89
r_44,69,13.89
r_39,263,8.33
r_39,266,8.33
r_39,271,8.33
r_39,272,13.89
r_39,303,13.89
r_39,312,13.89
r_39,179,13.89
r_39,5,13.89
r_39,97,13.89
r_39,-223,8.33
r_39,-99,8.33
r_39,-51,8.33
r_39,-17,8.33
r_39,-61,8.33
r_39,62,8.33
r_39,59,8.33
r_31,206,5.56
r_31,-206,5.56
r_31,205,8.33
r_31,23,8.33
r_31,251,8.33
r_31,249,8.33
r_31,31,8.33
r_31,309,8.33
r_31,33,8.33
r_31,40,8.33
r_31,-40,8.33
r_3,6,8.33
r_3,-6,8.33
r_3,7,13.89
r_3,22,8.33
r_3,19,8.33
r_3,34,8.33
r_3,115,8.33
r_3,38,8.33
r_3,147,8.33
