Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds),Find
100-1,100,1151.5641234044463,0.017851829528808594,True
2,100,0,0,False
100-3,100,934.4807900711128,0.017481088638305664,True
100-4,100,1569.5741234044463,0.017095327377319336,True
5,100,0,0,False
100-6,100,1204.9441234044461,0.015038013458251953,True
100-7,100,780.8115854540422,0.027124881744384766,True
100-8,100,1096.8559773867084,0.022677183151245117,True
9,100,0,0,False
100-10,100,918.2926346427904,0.01607799530029297,True
100-11,100,898.3874567377798,0.016808032989501953,True
12,100,0,0,False
100-13,100,1234.0441234044463,0.01846909523010254,True
100-14,100,1051.5541234044463,0.015207052230834961,True
15,100,0,0,False
100-16,100,880.6491234044463,0.009862184524536133,True
100-17,100,1029.5841234044462,0.015003204345703125,True
100-18,100,1326.585790071113,0.01548314094543457,True
100-19,100,1585.547456737779,0.017632007598876953,True
100-20,100,952.2941234044462,0.009963035583496094,True
100-21,100,617.3224567377797,0.01672220230102539,True
100-22,100,1207.735790071113,0.015018224716186523,True
100-23,100,1013.2826346427905,0.015329122543334961,True
100-24,100,1212.6612632186357,0.0032110214233398438,True
100-25,100,734.2295203836929,0.02139902114868164,True
100-26,100,896.8541234044462,0.01703786849975586,True
100-27,100,1155.8657900711128,0.017667055130004883,True
100-28,100,482.84802113352544,0.018674850463867188,True
100-29,100,813.360790071113,0.017175912857055664,True
100-30,100,1153.7374567377797,0.017741680145263672,True
31,100,0,0,False
100-32,100,951.0143013094571,0.015584945678710938,True
100-33,100,1122.9257900711127,0.0159451961517334,True
100-34,100,1253.784123404446,0.015661239624023438,True
100-35,100,612.1833924251762,0.029703855514526367,True
100-36,100,1226.0474567377792,0.01557779312133789,True
100-37,100,885.120790071113,0.009605884552001953,True
100-38,100,1007.7170406650777,0.012313127517700195,True
100-39,100,782.3707900711129,0.017348051071166992,True
100-40,100,1185.6191234044459,0.01571822166442871,True
100-41,100,865.4011743159897,0.023545265197753906,True
100-42,100,1044.3540888578489,0.019695758819580078,True
100-43,100,1237.9691234044462,0.015123128890991211,True
100-44,100,1163.8257900711128,0.017077207565307617,True
100-45,100,816.4739921837744,0.02468395233154297,True
100-46,100,930.6441234044462,0.017369985580444336,True
100-47,100,997.5024567377794,0.015180110931396484,True
48,100,0,0,False
100-49,100,1026.8865123269416,0.018845081329345703,True
100-50,100,465.56635446685874,0.01782703399658203,True
300-1,300,1151.5641234044463,0.05131125450134277,True
2,300,0,0,False
300-3,300,934.4807900711128,0.050293922424316406,True
300-4,300,1569.5741234044463,0.050606727600097656,True
5,300,0,0,False
300-6,300,1204.9441234044461,0.015759944915771484,True
300-7,300,517.601204819277,0.07283830642700195,True
300-8,300,1040.0787232807413,0.07024788856506348,True
9,300,0,0,False
300-10,300,918.2926346427904,0.04258918762207031,True
300-11,300,898.3874567377798,0.04998898506164551,True
12,300,0,0,False
300-13,300,945.732394142323,0.07776522636413574,True
300-14,300,530.8908825228973,0.048790931701660156,True
15,300,0,0,False
300-16,300,879.771914569105,0.04692792892456055,True
300-17,300,596.3708825228973,0.04659414291381836,True
300-18,300,686.4054995196925,0.04694390296936035,True
