Experiment ID,Number of Ants,Execution Time (seconds),Time Cost (seconds)
350-1,350,0.6225619316101074,3265.553375337534
350-2,350,0.6359078884124756,2725.121488148815
350-3,350,0.6336760520935059,3473.1080888088804
350-4,350,0.6357161998748779,3923.3749654965495
350-5,350,0.6323897838592529,3861.0419801980197
350-6,350,0.6275031566619873,4155.772163216321
350-7,350,0.6192378997802734,2980.2818541854185
350-8,350,0.26479578018188477,5054.949294929494
350-9,350,0.342602014541626,3886.952229222922
350-10,350,0.6273689270019531,3308.695553555355
350-11,350,0.6223959922790527,2632.7961056105614
350-12,350,0.6415338516235352,3316.3162016201622
350-13,350,0.6218719482421875,2632.7961056105614
350-14,350,0.6216340065002441,2632.7961056105614
350-15,350,0.6153280735015869,4908.698829882987
350-16,350,0.6236958503723145,2703.850111011101
350-17,350,0.6405460834503174,2753.319057905791
350-18,350,0.6146900653839111,2980.2818541854185
350-19,350,0.6187138557434082,4035.220192019202
350-20,350,0.6093418598175049,4165.6294389438945
350-21,350,0.36934709548950195,5350.765172517251
350-22,350,0.5859291553497314,4472.50311431143
350-23,350,0.649796724319458,4273.136518691869
350-24,350,0.6370077133178711,4516.647584758475
350-25,350,0.6092569828033447,3835.401566156616
350-26,350,0.37343907356262207,3364.2419081908192
350-27,350,0.6140589714050293,3308.695553555355
350-28,350,0.6104640960693359,4846.785866666667
350-29,350,0.6196048259735107,3455.3715571557154
350-30,350,0.38600802421569824,4690.530133333333
