Experiment ID,Number of Ants,Execution Time (seconds),Time Cost (seconds)
350-1,350,0.6526110172271729,2486.7615661566156
350-2,350,0.6097967624664307,2796.4087188718877
350-3,350,0.6068589687347412,2301.559591959196
350-4,350,0.6050240993499756,2298.619273927393
350-5,350,0.7002003192901611,2358.9776837683767
350-6,350,0.6312410831451416,2935.5960082304528
350-7,350,0.6086249351501465,3140.916419753086
350-8,350,0.6222119331359863,2069.573453345334
350-9,350,0.6257131099700928,2209.74397239724
350-10,350,0.36190104484558105,3726.3600660066
350-11,350,0.6458909511566162,2316.2509150915093
350-12,350,0.6650950908660889,2594.6561056105606
350-13,350,0.707556962966919,2013.405390946502
350-14,350,0.670598030090332,2774.5961356135613
350-15,350,0.7106597423553467,2111.538133333333
350-16,350,0.6486060619354248,1913.9724152415238
350-17,350,0.6401269435882568,3089.5834743474343
350-18,350,0.633293867111206,2329.318512814244
350-19,350,0.6083498001098633,2486.7615661566156
350-20,350,0.6078100204467773,3120.919259259259
350-21,350,0.6197190284729004,2408.919339933993
350-22,350,0.6226511001586914,2449.604279835391
350-23,350,0.6221358776092529,2398.9424302430243
350-24,350,0.501213788986206,2138.1226582658264
350-25,350,0.6171481609344482,2796.752839506173
350-26,350,0.6214971542358398,3188.9203300330028
350-27,350,0.6210417747497559,3133.9282628262827
350-28,350,0.6154029369354248,2393.0330041152265
350-29,350,0.6398329734802246,2801.0654005400543
350-30,350,0.6126179695129395,2044.046900690069
