Experiment ID,Episode,Execution Time (seconds),Time Cost
100-5,100,0.26990604400634766,5357.768889296336
100-7,100,0.20540404319763184,3946.829324932493
100-9,100,0.2163546085357666,4475.166374077407
100-11,100,0.18773388862609863,3361.736105610561
100-12,100,0.24909710884094238,4399.021866927434
100-18,100,0.2283320426940918,4620.15700570057
100-19,100,0.21897602081298828,3960.9008820882086
100-21,100,0.22332406044006348,5423.94599459946
100-23,100,0.23854899406433105,5385.340849677561
100-29,100,0.24206900596618652,4121.953819381938
100-30,100,0.277987003326416,5444.241193415639
200-6,200,0.6242640018463135,4148.864496560767
200-7,200,0.6175801753997803,3361.736105610561
200-10,200,0.5748879909515381,5100.6613847310655
200-13,200,0.5124211311340332,4092.4358994788363
200-15,200,0.670745849609375,3551.73679179029
200-18,200,0.6070177555084229,4118.250849084909
200-21,200,0.6962549686431885,4958.086893022635
200-22,200,0.7287180423736572,3987.53499549955
200-23,200,0.5850789546966553,4722.859111911192
200-27,200,0.5530350208282471,5059.974539453945
300-2,300,0.9990310668945312,4199.470077167716
300-7,300,1.1932880878448486,4236.138452565257
300-9,300,1.2760310173034668,4106.513058871813
300-10,300,1.1912047863006592,3361.736105610561
300-11,300,1.0390770435333252,3530.6069426942695
300-12,300,1.2371680736541748,5171.083294403514
300-13,300,1.0462219715118408,3361.736105610561
300-16,300,0.9587357044219971,4792.054395439543
300-17,300,1.159998893737793,4118.250849084909
300-18,300,0.9507741928100586,3361.736105610561
300-20,300,1.128927230834961,3809.3504278427836
300-21,300,1.1079480648040771,5006.251485518922
300-25,300,1.2099246978759766,5422.014765846954
300-26,300,1.148195743560791,3691.909673893315
300-27,300,1.1176199913024902,4324.579881908191
300-30,300,1.104429006576538,3361.736105610561
400-2,400,1.5089161396026611,4092.4358994788363
400-6,400,2.7354800701141357,3361.736105610561
400-7,400,1.7742080688476562,3361.736105610561
400-13,400,1.7113690376281738,4343.340328112811
400-17,400,3.07279109954834,4092.4358994788363
400-18,400,1.764557123184204,4166.15498949895
400-22,400,1.914567232131958,4970.6195799579955
400-25,400,1.8383188247680664,4482.81591431143
400-26,400,1.565176248550415,3361.736105610561
400-29,400,1.948211908340454,5186.214745394539
500-6,500,6.689032077789307,3960.9008820882086
500-10,500,6.052281141281128,4995.332266666666
500-11,500,7.227918863296509,3361.736105610561
500-13,500,8.362184047698975,3924.121854185418
500-19,500,9.782365083694458,3450.8292649264927
500-22,500,9.78652811050415,4008.4067326732675
500-23,500,13.583316087722778,4585.5285448544855
500-27,500,13.00676679611206,4767.103372337234
500-29,500,8.381860256195068,3993.8914311431145
500-30,500,10.633573770523071,4616.017293729373
600-2,600,16.40674614906311,3463.2788598859884
600-3,600,8.89340591430664,4653.561398139814
