Experiment ID,Episode,Execution Time (seconds),Travel Time Cost (seconds)
400-3,400,2.7899692058563232,4995.332266666666
400-6,400,1.7922828197479248,4655.631605160515
400-7,400,1.5873479843139648,4215.827500675993
400-8,400,1.3006417751312256,3632.8401363840085
400-10,400,1.5405621528625488,4207.053195060247
400-11,400,1.6819818019866943,3556.096863908613
400-12,400,1.4068810939788818,3440.4692289228924
400-13,400,1.4117722511291504,3655.242678490071
400-14,400,1.5875070095062256,3924.121854185418
400-17,400,3.4521658420562744,5176.655698310571
400-18,400,1.7087643146514893,4644.695546480574
400-20,400,1.735417127609253,3416.5173837383736
400-21,400,1.5000147819519043,3945.2127632763277
400-22,400,1.6312990188598633,3361.736105610561
400-25,400,1.7368230819702148,4811.021794179418
400-26,400,1.471604347229004,5304.72117611761
400-28,400,3.086580991744995,4118.250849084909
400-29,400,3.6156411170959473,3550.2784450296876
400-30,400,3.6194050312042236,5406.079999999998
