Experiment ID,Number of Ants,Execution Time (seconds),Time Cost (seconds)
350-1,350,0.7439420223236084,3482.31801380138
350-2,350,0.6856670379638672,4506.1376837683765
350-3,350,0.7402050495147705,3854.632373237324
350-4,350,0.6786179542541504,3924.121854185418
350-5,350,0.7779519557952881,4247.030675104547
350-6,350,0.3537461757659912,5318.214609053497
350-7,350,0.6959018707275391,4472.54205220522
350-8,350,0.6876339912414551,3755.071617161716
350-9,350,0.4015212059020996,4883.409794238682
350-10,350,0.6598000526428223,4995.332266666666
350-11,350,0.6716361045837402,4118.250849084909
350-12,350,0.7198641300201416,4600.021302130213
350-13,350,0.7464299201965332,3755.071617161716
350-14,350,0.5673363208770752,3541.8333153315334
350-15,350,0.7491140365600586,3924.121854185418
350-16,350,0.7520771026611328,3468.5128832883283
350-17,350,0.7044048309326172,4921.175661566155
350-18,350,0.6755211353302002,3509.9665286528652
350-19,350,0.6640510559082031,4600.021302130213
350-20,350,0.2360091209411621,5546.468750912129
350-21,350,0.7360682487487793,3535.118193819382
350-22,350,0.7096226215362549,3438.5614881488145
350-23,350,0.7193000316619873,3924.121854185418
350-24,350,0.7303769588470459,4285.564565641749
350-25,350,0.6887140274047852,4683.475761316872
350-26,350,0.6685290336608887,4467.699789978998
350-27,350,0.7336630821228027,3909.9883588358834
350-28,350,0.5784640312194824,3844.272337233723
350-29,350,0.2327742576599121,6133.965496549654
350-30,350,0.3948860168457031,4279.564782478247
