Experiment ID,Number of Ants,Time Cost (seconds)
350-1,350,2476.3874407440744
350-2,350,2916.963950617284
350-3,350,1629.2988418841885
350-4,350,2788.9466666666667
350-5,350,3724.065316531653
350-6,350,2054.483672367237
350-7,350,3453.6462586258626
350-8,350,1974.7690249024902
350-9,350,2323.5288388838885
350-10,350,3272.460864197531
350-11,350,3831.3803420342037
350-12,350,3357.6697942386836
350-13,350,2453.9873251028803
350-14,350,2378.26300030003
350-15,350,2012.3121752175218
350-16,350,2514.609066666667
350-17,350,2180.1239094650205
350-18,350,2726.596489648965
350-19,350,4386.115683346112
350-20,350,2963.1538683127574
350-21,350,2788.9044855967077
350-22,350,1495.910740740741
350-23,350,4069.547794779478
350-24,350,2647.3852385238524
350-25,350,2940.4405333333334
350-26,350,2539.5260082304526
350-27,350,2210.632607260726
350-28,350,2126.1350315031505
350-29,350,3067.2052745274527
350-30,350,2586.0418666666665
350-31,350,inf
350-32,350,1352.0333333333333
350-33,350,3277.974279835391
350-34,350,4707.227512751275
350-35,350,3766.1382838283826
350-36,350,inf
350-37,350,3124.02
350-38,350,2624.763086419753
350-39,350,1374.8799999999999
350-40,350,3294.2136813681363
350-41,350,2390.0150615061507
350-42,350,2442.757899789979
350-43,350,3453.708230452675
350-44,350,3770.5972839506176
350-45,350,1969.4746197582722
350-46,350,2339.3956315631563
350-47,350,3557.5245267489713
350-48,350,1005.1526072607261
350-49,350,3152.2888388838883
350-50,350,1934.9067326732672
350-51,350,2560.8803703703707
350-52,350,2559.2356555655565
350-53,350,1933.64
350-54,350,1978.9121752175217
350-55,350,3980.3864206420644
350-56,350,2559.9333873387336
350-57,350,1589.7730041152263
350-58,350,2613.520576131687
350-59,350,2502.981512151215
350-60,350,2522.38
350-61,350,2884.5117491749174
350-62,350,3308.605784578458
350-63,350,2552.51496549655
350-64,350,4112.174617461746
350-65,350,2993.7042844284433
350-66,350,1884.472415241524
350-67,350,3803.2861333333335
350-68,350,2479.54
350-69,350,2861.2435343534353
350-70,350,1907.1517491749175
350-71,350,2520.8465046504652
350-72,350,2400.816748971193
350-73,350,2012.8562081393325
350-74,350,1683.4802666666665
350-75,350,2884.7366396639663
350-76,350,3334.852607260726
350-77,350,3373.291617161716
