Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds)
350-1,350,2594.2269186918693,0.7622725963592529
350-2,350,3265.7819381938193,0.6990244388580322
350-3,350,2129.3021333333336,0.7290663719177246
350-4,350,2708.9235223522355,0.6854903697967529
350-5,350,2960.083114311431,0.683525562286377
350-6,350,2343.7928,0.7035651206970215
350-7,350,2635.3464506450646,0.7361605167388916
350-8,350,2214.9629882988297,0.7110123634338379
350-9,350,1114.9768,0.7079417705535889
350-10,350,2997.2278187818783,0.6999349594116211
350-11,350,3211.4661266126614,0.7101292610168457
350-12,350,3448.7062106210624,0.6725144386291504
350-13,350,2556.74699669967,0.73036789894104
350-14,350,2740.996897689769,0.36478686332702637
350-15,350,1171.697366255144,0.6836948394775391
350-16,350,1763.474107410741,0.7197861671447754
350-17,350,3089.161362136214,0.6934235095977783
350-18,350,3473.9966456645666,0.35048508644104004
350-19,350,3515.6113351335134,0.7249562740325928
350-20,350,2904.4564476447645,0.6797599792480469
350-21,350,3618.153567356736,0.6684021949768066
350-22,350,1721.5740654065407,0.750725507736206
350-23,350,2689.396333633363,0.6694059371948242
350-24,350,1957.7946666666667,0.6885385513305664
350-25,350,2233.0348214821483,0.47329235076904297
350-26,350,3327.099267926793,0.6863203048706055
350-27,350,2848.2860905349794,0.6998002529144287
350-28,350,3047.6533333333336,0.688892126083374
350-29,350,2307.0843621399176,0.6841697692871094
350-30,350,3442.3202666666666,0.7149002552032471
350-31,350,inf,0.5520875453948975
350-32,350,2080.8848424842486,0.6980063915252686
350-33,350,2019.2533333333333,0.7383737564086914
350-34,350,3217.424368436844,0.33695220947265625
350-35,350,3486.388,0.680290699005127
350-36,350,3334.8327160493827,0.6939566135406494
350-37,350,2924.8713580246913,0.6961066722869873
350-38,350,4084.91498949895,0.6936192512512207
350-39,350,3577.300658436214,0.7054219245910645
350-40,350,2783.7880828082807,0.699587345123291
350-41,350,3288.276387638764,0.7040469646453857
350-42,350,1842.4501230123014,0.6919169425964355
350-43,350,2683.5938683127574,0.6911592483520508
350-44,350,2311.7277052890477,0.40705204010009766
350-45,350,3019.719753975398,0.6970515251159668
350-46,350,2649.7138683127573,0.7109038829803467
350-47,350,3210.16397239724,0.6651415824890137
350-48,350,2669.987489711934,0.6823468208312988
350-49,350,2512.8866666666663,0.7130074501037598
350-50,350,2536.424068406841,0.7324790954589844
350-51,350,1541.0590399039904,0.7113428115844727
350-52,350,2552.5296189618957,0.7214641571044922
350-53,350,2120.0164757201646,0.723538875579834
350-54,350,2106.2302310231025,0.7297666072845459
350-55,350,3144.468604860486,0.6883523464202881
350-56,350,3888.6976954732513,0.7202308177947998
350-57,350,1681.6155235523552,0.7530505657196045
350-58,350,2883.7253105310533,0.7294883728027344
350-59,350,2736.7183127572016,0.6952378749847412
350-60,350,2286.7951999999996,0.7110037803649902
350-61,350,1838.4259405940593,0.7113769054412842
350-62,350,2460.7321632163216,0.6740922927856445
350-63,350,3298.655799579958,0.7087967395782471
350-64,350,3379.1681128112814,0.7169809341430664
350-65,350,3201.6272016460907,0.6999096870422363
350-66,350,3242.2877467746775,0.6867399215698242
350-67,350,2451.6266666666666,0.7111668586730957
350-68,350,2446.6259405940596,0.6996240615844727
350-69,350,2928.27498949895,0.7376785278320312
350-70,350,1227.0119771977197,0.7292838096618652
350-71,350,2660.100658436214,0.7319087982177734
350-72,350,1611.961176117612,0.7107765674591064
350-73,350,1780.6742798353912,0.6877853870391846
350-74,350,2169.4976,0.70562744140625
