Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds)
350-1,350,4970.755778577857,0.5969071388244629
350-2,350,4309.814897119341,0.6389188766479492
350-3,350,3872.9785596707816,0.6160709857940674
350-4,350,5085.754410441044,0.458050012588501
350-5,350,4831.038933333333,0.6156680583953857
350-6,350,4018.0726666666665,0.6423599720001221
350-7,350,3024.6637860082305,0.6814241409301758
350-8,350,4222.194666666668,0.6191868782043457
350-9,350,3354.9560082304533,0.4723398685455322
350-10,350,4125.102613261327,0.6232490539550781
350-11,350,2987.238748874888,0.6150820255279541
350-12,350,4440.827398739873,0.6247529983520508
350-13,350,4934.233333333334,0.6182389259338379
350-14,350,4981.153699369937,0.6279339790344238
350-15,350,3719.271466666667,0.611868143081665
350-16,350,2781.7493339333937,0.6229817867279053
350-17,350,3338.5747104710467,0.6427581310272217
350-18,350,4091.1947736625516,0.6586949825286865
350-19,350,6427.9460156015575,0.2719569206237793
350-20,350,4566.17704170417,0.6453790664672852
350-21,350,4072.239429942994,0.618354082107544
350-22,350,2800.349733333334,0.6183397769927979
350-23,350,4776.579547325102,0.23617887496948242
350-24,350,3719.547695473251,0.8438267707824707
350-25,350,4167.188580858086,0.6310040950775146
350-26,350,3918.5034666666666,0.6690239906311035
350-27,350,4280.011399176955,0.637854814529419
350-28,350,3905.478353909466,0.6111400127410889
350-29,350,4198.39251402918,0.4496269226074219
350-30,350,5109.5198049804985,0.6223671436309814
350-31,350,inf,0.5355000495910645
350-32,350,2397.7590099009903,0.6477189064025879
350-33,350,4396.352933333334,0.6728811264038086
350-34,350,5920.113615361537,0.610321044921875
350-35,350,5707.251308130814,0.5991799831390381
350-36,350,inf,0.5268099308013916
350-37,350,6913.78321632163,0.09795284271240234
350-38,350,5686.604929492949,0.6064209938049316
350-39,350,6758.131236123614,0.6028499603271484
350-40,350,4309.981878187818,0.6046950817108154
350-41,350,3253.9805970597063,0.5997099876403809
350-42,350,6053.3846913580255,0.4714539051055908
350-43,350,3482.99402940294,0.6121599674224854
350-44,350,2371.2430393039313,0.6028378009796143
350-45,350,3616.2930603060304,0.6146180629730225
350-46,350,5197.780946502057,0.22122597694396973
350-47,350,5241.563342334234,0.6043729782104492
350-48,350,2326.49609053498,0.6017677783966064
350-49,350,3328.643328395062,0.6131260395050049
350-50,350,3378.631140114011,0.4339909553527832
350-51,350,2879.5513991769553,0.6087229251861572
350-52,350,4128.319657965796,0.5370140075683594
350-53,350,4485.414269426943,0.6256639957427979
350-54,350,3603.9708641975303,0.6549959182739258
350-55,350,6722.805763576358,0.24713492393493652
350-56,350,4655.385291089109,0.6362440586090088
350-57,350,3290.0098439843987,0.6255559921264648
350-58,350,4809.272962962962,0.6251230239868164
350-59,350,6440.310651065107,0.6293909549713135
350-60,350,3685.6212661266136,0.643237829208374
350-61,350,3224.4099909991,0.6163778305053711
350-62,350,5439.934794479448,0.6350812911987305
350-63,350,4418.391368136814,0.36351680755615234
