Experiment ID,Episode,Execution Time (seconds),Travel Time Cost (seconds),Find
400-0,400,0.618060827255249,5484.526666666667,True
400-1,400,0.3957862854003906,5064.919999999999,True
400-2,400,0.7340118885040283,5351.571733333332,True
400-3,400,0.6586968898773193,5493.993333333332,True
400-4,400,0.676516056060791,99504319.47700906,False
400-5,400,0.6287009716033936,6857.711199999998,True
400-6,400,0.6621880531311035,5497.257448559671,True
400-7,400,0.6014862060546875,5556.096,True
400-8,400,0.5168662071228027,5064.919999999999,True
400-9,400,0.7090070247650146,5934.4392,True
400-10,400,0.5573198795318604,6985.815338271605,True
400-11,400,0.5568819046020508,5439.139999999999,True
400-12,400,0.5592269897460938,6353.29304526749,True
400-13,400,0.5221171379089355,5610.44,True
400-14,400,0.6022632122039795,7166.013124279833,True
400-15,400,0.48678112030029297,5064.919999999999,True
400-16,400,0.43502306938171387,5484.526666666667,True
400-17,400,0.5782489776611328,5185.4400000000005,True
400-18,400,0.6234800815582275,99703019.6637498,False
400-19,400,0.554541826248169,5480.213333333333,True
400-20,400,0.5749740600585938,5406.079999999998,True
400-21,400,0.7852261066436768,5554.107999999999,True
400-22,400,0.41225171089172363,5064.919999999999,True
400-23,400,0.6233389377593994,5185.4400000000005,True
400-24,400,0.514348030090332,5064.919999999999,True
400-25,400,0.6279029846191406,99802690.70263374,False
400-26,400,0.5306010246276855,5610.44,True
400-27,400,0.40402793884277344,5064.919999999999,True
400-28,400,0.5901880264282227,99702249.8692461,False
400-29,400,0.6215341091156006,5857.8088,True
