Experiment ID,Number of Ants,Execution Time (seconds),Travel Time Cost (seconds)
350-1,350,0.6030588150024414,5042.61427983539
350-2,350,0.6060159206390381,4225.1016049382715
350-3,350,0.6143460273742676,4683.475761316872
350-4,350,0.3665201663970947,4322.196707818931
350-5,350,0.6179800033569336,3762.1941333333334
350-6,350,0.6113309860229492,3563.2828806584357
350-7,350,0.6094279289245605,4195.2172839506175
350-8,350,0.6037259101867676,5387.773868312757
350-9,350,0.6062190532684326,4672.015637860081
350-10,350,0.6129398345947266,3647.360041152263
350-11,350,0.3409080505371094,3762.1941333333334
350-12,350,0.42565369606018066,4782.5126337448555
350-13,350,0.6177868843078613,4888.384979423869
350-14,350,0.4596428871154785,4526.336194238684
350-15,350,0.614206075668335,4225.1016049382715
350-16,350,0.6176791191101074,4853.256954732509
350-17,350,0.6135110855102539,4318.319670781893
350-18,350,0.6043961048126221,3762.1941333333334
350-19,350,0.6061069965362549,3563.2828806584357
350-20,350,0.6151199340820312,3688.5133333333333
350-21,350,0.2151479721069336,5521.620452674896
350-22,350,0.6134498119354248,6103.293066666665
350-23,350,0.6128592491149902,4346.258312757202
350-24,350,0.6325469017028809,3563.2828806584357
350-25,350,0.5855133533477783,3885.969094650205
350-26,350,0.60782790184021,3563.2828806584357
350-27,350,0.6081862449645996,4195.2172839506175
350-28,350,0.6064739227294922,3688.5133333333333
350-29,350,0.6125991344451904,3988.9330864197527
350-30,350,0.6029140949249268,4942.521563786009
