Experiment ID,Number of Ants,Execution Time (seconds),Travel Time Cost (seconds)
350-1,350,0.6059610843658447,3361.736105610561
350-2,350,0.610400915145874,3482.2590579057905
350-3,350,0.6005539894104004,5254.470615061506
350-4,350,0.6076390743255615,3924.121854185418
350-5,350,0.5688529014587402,4074.9701890189017
350-6,350,0.6020998954772949,4894.173981398139
350-7,350,0.610551118850708,4169.727362736275
350-8,350,0.5990200042724609,4411.0080768076805
350-9,350,0.6109950542449951,3482.2590579057905
350-10,350,0.6142668724060059,3438.5614881488145
350-11,350,0.6153831481933594,3643.019633963396
350-12,350,0.6098799705505371,3924.121854185418
350-13,350,0.4334290027618408,4042.7129218106993
350-14,350,0.6061429977416992,3682.475529552955
350-15,350,0.6093688011169434,3361.736105610561
350-16,350,0.2698390483856201,5024.7359259259265
350-17,350,0.6020121574401855,3563.2828806584357
350-18,350,0.387103796005249,4434.897143714371
350-19,350,0.6034293174743652,3361.736105610561
350-20,350,0.25252819061279297,3987.53499549955
350-21,350,0.6154298782348633,4418.747728772877
350-22,350,0.6182022094726562,4086.961188118812
350-23,350,0.564223051071167,3945.2127632763277
350-24,350,0.607759952545166,4169.727362736275
350-25,350,0.6091969013214111,3398.5151335133514
350-26,350,0.6032366752624512,4118.250849084909
350-27,350,0.6083719730377197,3361.736105610561
350-28,350,0.6187520027160645,4017.079549954995
350-29,350,0.6081957817077637,3924.121854185418
350-30,350,0.5946271419525146,5102.822133333333
