Experiment ID,Number of Ants,Execution Time (seconds),Time Cost (seconds)
350-1,350,0.6229472160339355,1706.4783127572016
350-2,350,0.6091780662536621,1550.857037037037
350-3,350,0.07744693756103516,1980.514221422142
350-4,350,0.6225268840789795,2220.5994666666666
350-5,350,0.6042768955230713,1254.9049504950494
350-6,350,0.5714418888092041,1811.4182478247826
350-7,350,0.6294369697570801,1787.7376954732508
350-8,350,0.6372778415679932,1716.7437983798377
350-9,350,0.502708911895752,1276.9188538853887
350-10,350,0.19185400009155273,3028.562082208221
350-11,350,0.6277220249176025,2158.973868312757
350-12,350,0.6168251037597656,1695.0493004115226
350-13,350,0.6625101566314697,2169.5118567412296
350-14,350,0.24215292930603027,1574.503086419753
350-15,350,0.39655518531799316,3443.398883888389
350-16,350,0.5646028518676758,1626.7843024302429
350-17,350,0.6280789375305176,2214.7155895589563
350-18,350,0.6092228889465332,1863.3800823045267
350-19,350,0.6082761287689209,1811.6538666666668
350-20,350,0.6125941276550293,1272.6279423868314
350-21,350,0.6270880699157715,2977.374623462346
350-22,350,0.6218488216400146,1942.2370477047702
350-23,350,0.6110341548919678,1844.0532493249325
350-24,350,0.6067042350769043,1482.0168076807681
350-25,350,0.3427162170410156,1547.5925967041148
350-26,350,0.4205629825592041,1785.3644785589672
350-27,350,0.6355588436126709,1771.4808460846084
350-28,350,0.6537959575653076,2105.927228082808
350-29,350,0.6091346740722656,1672.5808280828082
350-30,350,0.606616735458374,2191.116897689769
