,step,edge_id,mean_speed,vehicle_ids
0,2,-1,8.33,()
1,2,-11,5.56,()
2,2,-12,5.56,()
3,2,-14,8.33,()
4,2,-17,5.56,()
5,2,-19,8.33,()
6,2,-2,8.33,()
7,2,-20,8.33,()
8,2,-23,8.33,()
9,2,-24,2.78,()
10,2,-27,5.56,()
11,2,-28,8.33,()
12,2,-3,8.33,()
13,2,-30,8.33,()
14,2,-32,8.33,()
15,2,-33,8.33,()
16,2,-34,5.56,()
17,2,-35,8.33,()
18,2,-36,5.56,()
19,2,-37,5.56,()
20,2,-38,5.56,()
21,2,-39,5.56,()
22,2,-40,8.33,()
23,2,-41,5.56,()
24,2,-43,5.56,()
25,2,-44,5.56,()
26,2,-45,8.33,()
27,2,-47,5.56,()
28,2,-48,5.56,()
29,2,-49,2.78,()
30,2,-50,8.33,()
31,2,-52,8.33,()
32,2,-53,2.78,()
33,2,-54,8.33,()
34,2,-55,5.56,()
35,2,-56,8.33,()
36,2,-58,8.33,()
37,2,-59,2.78,()
38,2,-60,8.33,()
39,2,-61,5.56,()
40,2,-62,8.33,()
41,2,-63,8.33,()
42,2,-64,8.33,()
43,2,-65,5.56,()
44,2,-66,2.78,()
45,2,-67,2.78,()
46,2,-68,2.78,()
47,2,-7,5.56,()
48,2,-70,5.56,()
49,2,-72,5.56,()
50,2,-8,8.33,()
51,2,-9,8.33,()
52,2,0,8.33,()
53,2,1,8.33,()
54,2,10,8.33,()
55,2,11,5.56,()
56,2,12,5.56,()
57,2,13,8.33,()
58,2,14,8.33,()
59,2,15,8.33,()
60,2,16,8.33,()
61,2,17,5.56,()
62,2,18,8.33,()
63,2,19,8.33,()
64,2,2,8.33,()
65,2,20,8.33,()
66,2,21,8.33,()
67,2,22,8.33,()
68,2,23,8.33,()
69,2,24,2.78,()
70,2,25,8.33,()
71,2,26,8.33,()
72,2,27,5.56,()
73,2,28,8.33,()
74,2,29,8.33,()
75,2,3,8.33,()
76,2,30,8.33,()
77,2,31,8.33,()
78,2,32,8.33,()
79,2,33,8.33,()
80,2,34,5.56,()
81,2,35,8.33,()
82,2,36,5.56,()
83,2,37,5.56,()
84,2,38,5.56,()
85,2,39,5.56,()
86,2,4,8.33,()
87,2,40,8.33,()
88,2,41,5.56,()
89,2,42,8.33,()
90,2,43,5.56,()
91,2,44,5.56,()
92,2,45,8.33,()
93,2,46,8.33,()
94,2,47,5.56,()
95,2,48,5.56,()
96,2,49,2.78,()
97,2,50,8.33,()
98,2,51,8.33,()
99,2,52,8.33,()
100,2,53,2.78,()
101,2,54,8.33,()
102,2,55,5.56,()
103,2,56,1.1077903776895255,"('v_1', 'v_0')"
104,2,57,8.33,()
105,2,58,8.33,()
106,2,59,2.78,()
107,2,6,8.33,()
108,2,60,8.33,()
109,2,61,5.56,()
110,2,62,8.33,()
111,2,63,8.33,()
112,2,64,8.33,()
113,2,65,5.56,()
114,2,66,2.78,()
115,2,67,2.78,()
116,2,68,2.78,()
117,2,69,8.33,()
118,2,7,5.56,()
119,2,70,5.56,()
120,2,71,8.33,()
121,2,72,5.56,()
122,2,8,8.33,()
123,2,9,8.33,()
124,2,:10253939533_0,5.43,()
125,2,:10253939533_1,5.56,()
126,2,:10602668616_0,5.06,()
127,2,:10602668616_1,5.04,()
